group,replicates,trial,polltype,visits,,
Zeb,wjanke,2,lbutterfly,0,,
Zeb,Zpazol,1,lbutterfly,0,,
Zeb,Zpazol,2,lbutterfly,0,,
Zeb,Kevin,1,lbutterfly,0,,
Zeb,Kevin,2,lbutterfly,0,,
JB,Joe Barnes ,1,lbutterfly,0,,
JB,Joe Barnes ,2,lbutterfly,0,,
JB,Ylee,1,lbutterfly,0,,
JB,Ylee,2,lbutterfly,0,,
JB,Alec,1,lbutterfly,0,,
JB,Alec,2,lbutterfly,2,,
TBD,JHillert,1,lbutterfly,2,,
TBD,JHillert,2,lbutterfly,3,,
TBD,Victoria,1,lbutterfly,6,,
TBD,Victoria,2,lbutterfly,6,,
TBD,Lindsay,1,lbutterfly,4,,
TBD,Lindsay,2,lbutterfly,4,,
TBD,Alex,1,lbutterfly,5,,
TBD,Alex,2,lbutterfly,14,,
MIMA,Mprice,1,sbutterfly,3,,
MIMA,Mprice,2,sbutterfly,0,,
MIMA,Afisher,1,sbutterfly,3,,
MIMA,Afisher,2,sbutterfly,1,,
MIMA,Mwilson,1,sbutterfly,5,,
MIMA,Mwilson,2,sbutterfly,0,,
MIMA,Iemrich,1,sbutterfly,1,,
MIMA,Iemrich,2,sbutterfly,0,,
Mitzi,Mharding,1,sbutterfly,1,,
Mitzi,Mharding,2,sbutterfly,1,,
Mitzi,Jstamey,1,sbutterfly,0,,
Mitzi,Jstamey,2,sbutterfly,0,,
Mitzi,Nthompson,1,sbutterfly,0,,
Mitzi,Nthompson,2,sbutterfly,0,,
Mitzi,Mlloyd,1,sbutterfly,0,,
Mitzi,Mlloyd,2,sbutterfly,0,,
Zeb,Zhull,1,sbutterfly,1,,
Zeb,Zhull,2,sbutterfly,0,,
Zeb,wjanke,1,sbutterfly,1,,
Zeb,wjanke,2,sbutterfly,0,,
Zeb,Zpazol,1,sbutterfly,0,,
Zeb,Zpazol,2,sbutterfly,0,,
Zeb,Kevin,1,sbutterfly,0,,
Zeb,Kevin,2,sbutterfly,0,,
JB,Joe Barnes ,1,sbutterfly,0,,
JB,Joe Barnes ,2,sbutterfly,4,,
JB,Ylee,1,sbutterfly,0,,
JB,Ylee,2,sbutterfly,1,,
JB,Alec,1,sbutterfly,0,,
JB,Alec,2,sbutterfly,1,,
TBD,JHillert,1,sbutterfly,6,,
TBD,JHillert,2,sbutterfly,1,,
TBD,Victoria,1,sbutterfly,3,,
TBD,Victoria,2,sbutterfly,3,,
TBD,Lindsay,1,sbutterfly,3,,
TBD,Lindsay,2,sbutterfly,5,,
TBD,Alex,1,sbutterfly,10,,
TBD,Alex,2,sbutterfly,35,,
MIMA,Mprice,1,flies,2,,
MIMA,Mprice,2,flies,4,,
MIMA,Afisher,1,flies,1,,
MIMA,Afisher,2,flies,0,,
MIMA,Mwilson,1,flies,8,,
MIMA,Mwilson,2,flies,14,,
MIMA,Iemrich,1,flies,7,,
MIMA,Iemrich,2,flies,3,,
Mitzi,Mharding,1,flies,2,,
Mitzi,Mharding,2,flies,6,,
Mitzi,Jstamey,1,flies,3,,
Mitzi,Jstamey,2,flies,4,,
Mitzi,Nthompson,1,flies,1,,
Mitzi,Nthompson,2,flies,1,,
Mitzi,Mlloyd,1,flies,5,,
Mitzi,Mlloyd,2,flies,11,,
Zeb,Zhull,1,flies,1,,
Zeb,Zhull,2,flies,0,,
Zeb,wjanke,1,flies,2,,
Zeb,wjanke,2,flies,1,,
Zeb,Zpazol,1,flies,3,,
Zeb,Zpazol,2,flies,1,,
Zeb,Kevin,1,flies,2,,
Zeb,Kevin,2,flies,2,,
JB,Joe Barnes ,1,flies,2,,
JB,Joe Barnes ,2,flies,3,,
JB,Ylee,1,flies,11,,
JB,Ylee,2,flies,5,,
JB,Alec,1,flies,1,,
JB,Alec,2,flies,2,,
TBD,JHillert,1,flies,4,,
TBD,JHillert,2,flies,17,,
TBD,Victoria,1,flies,6,,
TBD,Victoria,2,flies,9,,
TBD,Lindsay,1,flies,13,,
TBD,Lindsay,2,flies,11,,
TBD,Alex,1,flies,14,,
TBD,Alex,2,flies,9,,
MIMA,Mprice,1,ant,0,,
MIMA,Mprice,2,ant,0,,
MIMA,Afisher,1,ant,0,,
MIMA,Afisher,2,ant,0,,
MIMA,Mwilson,1,ant,0,,
MIMA,Mwilson,2,ant,0,,
MIMA,Iemrich,1,ant,0,,
MIMA,Iemrich,2,ant,0,,
Mitzi,Mharding,1,ant,0,,
Mitzi,Mharding,2,ant,0,,
Mitzi,Jstamey,1,ant,0,,
Mitzi,Jstamey,2,ant,0,,
Mitzi,Nthompson,1,ant,0,,
Mitzi,Nthompson,2,ant,0,,
Mitzi,Mlloyd,1,ant,0,,
Mitzi,Mlloyd,2,ant,0,,
Zeb,Zhull,1,ant,0,,
Zeb,Zhull,2,ant,0,,
Zeb,wjanke,1,ant,1,,
Zeb,wjanke,2,ant,0,,
Zeb,Zpazol,1,ant,0,,
Zeb,Zpazol,2,ant,0,,
Zeb,Kevin,1,ant,0,,
Zeb,Kevin,2,ant,0,,
JB,Joe Barnes ,1,ant,0,,
JB,Joe Barnes ,2,ant,0,,
JB,Ylee,1,ant,0,,
JB,Ylee,2,ant,0,,
JB,Alec,1,ant,0,,
JB,Alec,2,ant,0,,
TBD,JHillert,1,ant,0,,
TBD,JHillert,2,ant,0,,
TBD,Victoria,1,ant,0,,
TBD,Victoria,2,ant,0,,
TBD,Lindsay,1,ant,0,,
TBD,Lindsay,2,ant,0,,
TBD,Alex,1,ant,0,,
TBD,Alex,2,ant,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
